brand,product_name,model_number,category,subcategory,technical_specs,short_description,long_description,product_image_url,datasheet_url,type_id,classification_path,source_url
Sika,Sikacrete®-105 Gunit HSF,105,Refurbishment,Concrete Repair,"{""packaging"": ""25 kg and 40 kg bag"", ""colour"": ""Grey"", ""composition"": ""Cementitious mortar with different additives"", ""shelf_life"": ""12 months minimum from production date"", ""storage_conditions"": ""Store in dry area in unopened original packaging at temperatures between +5 °C and +35 °C. Protect from direct sunlight, heat and moisture."", ""density"": ""~2.2 kg/l (+20 °C) (fresh mortar)""}","Sikacrete®-105 Gunit HSF is a one component, un-accelerated, cementitious, silica fume based dry spray mortar with fibers and high ultimate strength. Suitable for use in hot and tropical climatic conditions.","Sikacrete®-105 Gunit HSF is a one component, un-accelerated, cementitious, silica fume based dry spray mortar with fibers and high ultimate strength. Suitable for use in hot and tropical climatic conditions.",,,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sikacrete-105-gunithsf.html
Sika,SikaRep® NF,,Refurbishment,Concrete Repair,"{""50 nmm"": ""(ASTM C109)"", ""15 nmm"": ""(BS 1881 Part 208)"", ""packaging"": ""25 kg bag"", ""colour"": ""Grey powder"", ""composition"": ""Polymer containing cementitious mortar with different additives"", ""shelf_life"": ""12 months minimum from production"", ""storage_conditions"": ""Store in a dry area in original sealed packaging at temperatures between +5 °C and +35 °C. Protect from direct sunlight, heat and moisture."", ""fresh_mortar_density"": ""~2.25 kg/l (25 °C)""}","SikaRep® NF is a cementitious, synthetic fibre reinforced, silica fume and polymer containing, one-component repair mortar. Suitable for use in hot and tropical climatic conditions.","SikaRep® NF is a cementitious, synthetic fibre reinforced, silica fume and polymer containing, one-component repair mortar. Suitable for use in hot and tropical climatic conditions. Polymer containing cementitious mortar with different additives",,,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sikarep-nf.html
Sika,SikaRep® N,,Refurbishment,Concrete Repair,"{""50 nmm"": ""(ASTM C109)"", ""15 nmm"": ""(BS 1881 Part 208)"", ""packaging"": ""25 kg bag"", ""colour"": ""Grey powder"", ""composition"": ""Polymer containing cementitious mortar with different additives"", ""shelf_life"": ""12 months minimum from production"", ""storage_conditions"": ""Store in a dry area in original sealed packaging at temperatures between +5 °C and +35 °C. Protect from direct sunlight, heat and moisture."", ""fresh_mortar_density"": ""~2.25 kg/l (25 °C)""}","SikaRep® N is a cementitious, silica fume and polymer containing, one-component repair mortar. Suitable for use in hot and tropical climatic conditions","SikaRep® N is a cementitious, silica fume and polymer containing, one-component repair mortar. Suitable for use in hot and tropical climatic conditions Polymer containing cementitious mortar with different additives",,,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sikarep-n.html
Sika,Sika MonoTop®-610,610,Refurbishment,Concrete Repair,"{""packaging"": ""25 kg bags"", ""colour"": ""Pink / grey powder"", ""composition"": ""Portland cement, silica fume, re-dispersible polymer powder, selected aggregates and additives"", ""shelf_life"": ""12 months from date of production."", ""storage_conditions"": ""Store properly in undamaged original sealed packaging, in dry cool conditiones between +5 °C and +35 °C. Protect from direct sunlight, heat and moisture."", ""fresh_mortar_density"": ""~2.0 kg/l""}","Sika MonoTop®-610 is a cementitious, polymer modified one-component coating material containing silica fume used as bonding primer and reinforcement corrosion protection. Suitable for use in hot and tropical climatic conditions.","Sika MonoTop®-610 is a cementitious, polymer modified one-component coating material containing silica fume used as bonding primer and reinforcement corrosion protection. Suitable for use in hot and tropical climatic conditions. Portland cement, silica fume, re-dispersible polymer powder, selected aggregates and additives",,,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sika-monotop-610.html
Sika,SikaRep® Fine SA,,Refurbishment,Concrete Repair,"{""packaging"": ""25 kg bag"", ""colour"": ""Grey Powder"", ""composition"": ""Polymer containing cementitious mortar with different additives."", ""shelf_life"": ""12 months minimum from production date"", ""storage_conditions"": ""Store in undamaged, unopened, original sealed packaging in dry conditions at temperatures between +5 °C and +35 °C. Protect from direct sunlight, heat and moisture."", ""fresh_mortar_density"": ""~1.65 kg/l (25 °C)""}","SikaRep® Fine SA is a cementitious, silica fume containing, polymer modified one component pore sealer and finishing mortar. Suitable for use in hot and tropical climatic conditions.","SikaRep® Fine SA is a cementitious, silica fume containing, polymer modified one component pore sealer and finishing mortar. Suitable for use in hot and tropical climatic conditions. Polymer containing cementitious mortar with different additives.",,,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sikarep-fine-sa.html
Sika,SikaEmaco® S 488 PM,488,Refurbishment,Concrete Repair,"{""packaging"": ""25 kg bags"", ""colour"": ""Grey powder"", ""composition"": ""Polymer containing cementitious mortar with different additives and synthetic fibres"", ""shelf_life"": ""12 months from date of production"", ""storage_conditions"": ""Store in a cool, dry area in original sealed packaging and at temperatures between +5 °C and +35 °C. Protect from direct sunlight, heat and moisture."", ""fresh_mortar_density"": ""~2.19 kg/l (+25 °C)""}","SikaEmaco® S 488 PM is a polymer modified, single component, cementitious, synthetic fibre reinforced, structural repair mortar that contains Portland Cement, well graded sands, specially selected fibres and additives to improve the fresh and hardened properties. Suitable for use in hot and tropical climatic conditions.","SikaEmaco® S 488 PM is a polymer modified, single component, cementitious, synthetic fibre reinforced, structural repair mortar that contains Portland Cement, well graded sands, specially selected fibres and additives to improve the fresh and hardened properties. Suitable for use in hot and tropical climatic conditions. Polymer containing cementitious mortar with different additives and synthetic fibres",,https://gcc.sika.com/dam/dms/gcc/e/pds-sikaemaco-s-488pm.pdf,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sikaemaco-s-488-pm.html
Sika,SikaRep® Fine N,,Refurbishment,Concrete Repair,"{""packaging"": ""25 kg bag"", ""colour"": ""Grey Powder"", ""composition"": ""Polymer containing cementitious mortar with different additives"", ""shelf_life"": ""12 months from production date."", ""storage_conditions"": ""Store in undamaged, unopened, original sealed packaging in dry conditions at temperatures between 5 °C and 35 °C. Protect from direct sunlight, heat and moisture."", ""fresh_mortar_density"": ""~1.90 kg/l""}","SikaRep® Fine N is a cementitious, silica fume containing, polymer modified one component pore sealer and finishing mortar. Suitable for use in hot and tropical climatic conditions.","SikaRep® Fine N is a cementitious, silica fume containing, polymer modified one component pore sealer and finishing mortar. Suitable for use in hot and tropical climatic conditions. Polymer containing cementitious mortar with different additives",,,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sikarep-fine-n.html
Sika,Sika MonoTop®-615 HSF SA,615H,Refurbishment,Concrete Repair,"{""packaging"": ""25 kg bag"", ""colour"": ""Grey powder"", ""composition"": ""Polymer containing cementitious mortar with different additives and synthetic fibres"", ""shelf_life"": ""12 months minimum from production"", ""storage_conditions"": ""Store in dry area in original sealed packaging at temperatures between +5 °C and +35 °C. Protect from direct sunlight, heat, and moisture."", ""fresh_mortar_density"": ""~2.20 kg/l (+25 °C)""}","Sika MonoTop®-615 HSF SA is a cementitious, synthetic fibre reinforced, silica fume and polymer containing, one-component repair mortar. Suitable for use in hot and tropical climatic conditions.","Sika MonoTop®-615 HSF SA is a cementitious, synthetic fibre reinforced, silica fume and polymer containing, one-component repair mortar. Suitable for use in hot and tropical climatic conditions. Polymer containing cementitious mortar with different additives and synthetic fibres",,,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sika-monotop-615hsfsa.html
Sika,SikaRep® MC-80,80,Refurbishment,Concrete Repair,"{""packaging"": ""25 kg bag"", ""colour"": ""Grey powder"", ""composition"": ""Portland cement, selected fillers and aggregates, special additives"", ""shelf_life"": ""12 months minimum from date of production"", ""storage_conditions"": ""Store in original unopened packaging in a cool and dry condition between +5 °C and +35 °C. Protect from direct sunlight, heat and moisture."", ""fresh_mortar_density"": ""~2.4 kg/l (+25 °C)""}","SikaRep® MC-80 is a cementitious, pre-bagged, free flowing, one component, non-shrink precision grout with high early and ultimate strength. Suitable for use in hot and tropical climatic conditions.","SikaRep® MC-80 is a cementitious, pre-bagged, free flowing, one component, non-shrink precision grout with high early and ultimate strength. Suitable for use in hot and tropical climatic conditions. Portland cement, selected fillers and aggregates, special additives",,,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sikarep-mc-80.html
Sika,Sikacrete® UW-10,10,Refurbishment,Concrete Repair,"{""packaging"": ""40 kg bag"", ""colour"": ""Grey powder"", ""composition"": ""Portland cement, selected fillers and aggregates, special additives."", ""shelf_life"": ""12 months minimum from date of production."", ""storage_conditions"": ""Store in original unopened packaging in cool and dry condition between 5 °C and 35 °C. Protect from direct sunlight, heat and moisture."", ""fresh_mortar_density"": ""~2.4 kg/l""}","Sikacrete® UW-10 is a ready to use, cementitious microconcrete that can be used for applications under water. The microconcrete, when properly mixed, will have no significant &#39;wash out&#39; of the cement phase. Sikacrete® UW-10 is a blend of portland cement, carefully selected and graded aggregates, and Sika admixtures, enabling it to achieve excellent flow, non washout characteristics and high compressive strength. Suitable for use in hot and tropical climatic conditions.","Sikacrete® UW-10 is a ready to use, cementitious microconcrete that can be used for applications under water. The microconcrete, when properly mixed, will have no significant 'wash out' of the cement phase. Sikacrete® UW-10 is a blend of portland cement, carefully selected and graded aggregates, and Sika admixtures, enabling it to achieve excellent flow, non washout characteristics and high compressive strength. Suitable for use in hot and tropical climatic conditions. Portland cement, selected fillers and aggregates, special additives.",,,,,https://gcc.sika.com/en/construction/refurbishment/concrete-repair/sikacrete-uw-10.html
